1	51	2596	148	221	232	6279	258	510	3	5
2	56	2590	151	220	235	6225	212	390	2	5
3	139	2804	135	234	238	6121	268	3180	9	2
4	155	2785	122	238	238	6211	242	3090	18	2
5	45	2595	150	220	234	6172	153	391	2	5
6	132	2579	140	230	237	6031	300	67	6	2
7	45	2606	138	222	225	6256	270	633	7	5
8	49	2605	144	222	230	6228	234	573	4	5
9	45	2617	133	223	221	6244	240	666	9	5
10	59	2612	124	228	219	6230	247	636	10	5
11	201	2612	161	218	243	6222	180	735	4	5
12	151	2886	136	234	240	4051	371	5253	11	2
13	134	2742	92	248	224	6091	150	3215	22	2
14	214	2609	170	213	247	6211	150	771	7	5
15	157	2503	151	224	240	5600	67	674	4	5
16	51	2495	137	224	225	5576	42	752	7	5
17	259	2610	161	216	239	6096	120	607	1	5
18	72	2517	133	228	227	5607	85	595	7	5
19	0	2504	156	214	232	5572	95	691	4	5
20	38	2503	144	220	228	5555	85	741	5	5
21	71	2501	126	230	223	5547	60	767	9	5
22	209	2880	179	206	253	4323	216	4986	17	2
23	114	2768	71	252	209	5972	192	3339	23	5
24	54	2511	130	225	222	5569	124	638	8	5
25	22	2507	143	215	221	5534	120	732	9	5
26	135	2492	142	229	237	5494	0	860	6	5
27	163	2489	145	230	243	5486	30	849	10	5
28	148	2962	120	240	236	3395	323	5916	16	2
29	135	2811	154	220	238	5643	212	3670	1	2
30	117	2739	71	253	210	6033	127	3281	24	5
31	122	2703	52	254	201	6123	67	3191	30	5
32	105	2522	130	233	231	5569	120	595	7	5
33	102	2519	137	230	233	5559	124	616	6	5
34	23	2516	147	216	227	5541	150	658	6	5
35	41	2515	133	221	220	5532	162	680	9	5
36	45	2900	100	221	195	4115	242	5199	19	2
37	125	2709	61	253	207	6094	67	3224	28	5
38	92	2511	131	231	229	5494	182	722	7	5
39	98	2749	36	252	183	6005	124	3316	30	5
40	354	2686	157	200	219	6155	0	3167	12	5
41	347	2699	159	213	234	6853	0	2096	3	1
42	346	2570	158	215	235	5745	0	331	2	2
43	71	2533	126	230	223	5552	150	577	9	5
44	330	2703	184	146	197	6186	30	3141	27	5
45	128	2678	141	229	236	6546	95	1660	5	2
46	68	2529	130	228	225	5484	210	666	8	5
47	94	2524	130	232	229	5474	212	684	7	5
48	99	2536	136	230	232	5475	234	659	6	5
49	66	2498	135	227	227	5357	95	900	6	5
50	100	2489	131	232	231	5334	85	810	7	5
51	117	2713	48	254	198	6039	60	3297	30	5
52	323	2739	192	149	205	6219	85	3118	25	1
53	72	2696	149	222	234	6071	30	3271	2	1
54	79	2510	106	237	215	5325	192	891	14	5
55	81	2502	129	230	227	5316	175	912	7	5
56	315	2722	200	148	212	6132	30	3216	24	1
57	74	2500	116	233	219	5279	190	930	11	5
58	68	2486	139	225	230	5262	180	870	5	5
59	11	2489	153	216	232	5254	175	840	4	5
60	42	2489	141	221	227	5247	162	810	6	5
61	75	2490	137	227	230	5218	134	810	5	5
62	107	2952	116	239	226	3509	42	5845	11	2
63	90	2705	129	232	228	6615	134	2023	8	2
64	40	2507	138	221	224	5221	153	930	7	5
65	49	2500	116	225	210	5205	150	870	14	5
66	63	2493	124	229	221	5197	127	840	10	5
67	59	2509	134	226	226	5184	134	900	7	5
68	13	2919	142	207	214	4060	90	5321	13	1
69	54	2740	138	224	227	6686	218	2287	6	2
70	80	2640	127	231	225	5866	180	1092	8	2
71	166	2843	144	230	244	4956	242	4434	12	2
72	45	3008	116	223	208	3036	277	6371	14	2
73	114	2893	102	245	223	4340	108	5066	16	2
74	6	2850	151	210	223	4548	0	4858	9	2
75	30	2628	136	217	218	5645	240	960	10	2
76	118	2864	93	248	221	4849	201	4567	18	2
77	160	2827	108	235	233	5474	134	3948	28	2
78	326	2529	166	207	234	5047	30	1062	5	2
79	99	2808	130	233	230	6341	382	3107	7	1
80	153	2840	102	241	231	4833	134	4613	26	2
81	79	2795	121	233	223	6497	531	2980	10	1
82	143	2746	119	241	235	6597	67	2440	16	2
83	352	2847	152	166	187	5796	150	3697	26	1
84	14	2840	140	206	210	5944	216	3552	14	1
85	42	2537	137	222	224	4919	210	1132	7	2
86	358	2860	151	191	206	5800	175	3705	17	1
87	332	2818	181	151	197	4978	30	4526	26	2
88	18	2801	148	215	226	6457	560	3084	7	2
89	63	2791	124	229	221	6606	418	2942	10	2
